Local time in Moscow;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;Ee;sss
"16.06.2019 12:00";"17.4";"747.7";"761.6";"0.3";"75";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.9";"";"";"";"";"";"";
"16.06.2019 09:00";"16.5";"747.4";"761.3";"0.9";"82";"Wind blowing from the north-northwest";"1";"";"";"100%.";"Mist. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"13.3";"0.8";"12";"Surface of ground moist.";"13.0";"";"";
"16.06.2019 06:00";"15.3";"746.5";"760.5";"0.1";"94";"Wind blowing from the north-northwest";"1";"";"";"100%.";"Mist. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"14.4";"0.8";"12";"";"";"";"";
"16.06.2019 03:00";"13.5";"746.4";"760.5";"-0.3";"97";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.1";"";"";"";"";"";"";
"16.06.2019 00:00";"13.7";"746.7";"760.8";"-0.2";"96";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"13.0";"";"";"";"";"";"";
"15.06.2019 21:00";"16.4";"746.9";"760.9";"-0.1";"86";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"20.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.1";"No precipitation";"12";"";"";"";"";
"15.06.2019 18:00";"19.0";"747.0";"760.9";"-0.1";"72";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"13.9";"No precipitation";"12";"";"";"";"";
"15.06.2019 15:00";"20.2";"747.1";"760.9";"-0.6";"62";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"12.7";"";"";"";"";"";"";
"15.06.2019 12:00";"17.6";"747.7";"761.6";"-0.3";"67";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"11.4";"";"";"";"";"";"";
"15.06.2019 09:00";"14.8";"748.0";"762.1";"0.0";"78";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"13.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"10.9";"No precipitation";"12";"Surface of ground moist.";"15.0";"";"";
"15.06.2019 06:00";"13.3";"748.0";"762.1";"0.3";"84";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"13.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"10.6";"No precipitation";"12";"";"";"";"";
"15.06.2019 03:00";"14.0";"747.7";"761.8";"0.0";"87";"Wind blowing from the east";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"4.0";"11.8";"";"";"";"";"";"";
"15.06.2019 00:00";"15.8";"747.7";"761.7";"0.7";"87";"Wind blowing from the north-northeast";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"";"13.6";"";"";"";"";"";"";
"14.06.2019 21:00";"19.5";"747.0";"760.8";"0.0";"82";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"21.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.4";"11.0";"12";"";"";"";"";
"14.06.2019 18:00";"20.2";"747.0";"760.7";"-1.6";"82";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"17.0";"11.0";"12";"";"";"";"";
"14.06.2019 15:00";"16.2";"748.6";"762.5";"-1.5";"94";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"";"";"4.0";"15.2";"";"";"";"";"";"";
"14.06.2019 12:00";"19.5";"750.1";"764.0";"-2.3";"55";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"10.1";"";"";"";"";"";"";
"14.06.2019 09:00";"19.0";"752.4";"766.3";"-0.7";"41";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"10.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"5.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"13.0";"";"";
"14.06.2019 06:00";"14.7";"753.1";"767.2";"-1.2";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"5.1";"No precipitation";"12";"";"";"";"";
"14.06.2019 03:00";"10.9";"754.3";"768.7";"-1.0";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.5";"";"";"";"";"";"";
"14.06.2019 00:00";"13.6";"755.3";"769.6";"0.8";"58";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"5.3";"";"";"";"";"";"";
"13.06.2019 21:00";"16.6";"754.5";"768.6";"-0.8";"35";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"20.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"0.8";"No precipitation";"12";"";"";"";"";
"13.06.2019 18:00";"19.6";"755.3";"769.3";"-1.1";"25";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-1.0";"No precipitation";"12";"";"";"";"";
"13.06.2019 15:00";"19.0";"756.4";"770.4";"-0.9";"28";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"0.2";"";"";"";"";"";"";
"13.06.2019 12:00";"16.1";"757.3";"771.4";"0.1";"34";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"0.3";"";"";"";"";"";"";
"13.06.2019 09:00";"12.5";"757.2";"771.6";"1.0";"45";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"9.3";"";"";"";"";"";"";"10.0";"0.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"12.0";"";"";
"13.06.2019 06:00";"9.3";"756.2";"770.8";"1.3";"61";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"9.3";"";"";"";"";"";"";"10.0";"2.0";"No precipitation";"12";"";"";"";"";
"13.06.2019 03:00";"11.7";"754.9";"769.3";"1.5";"58";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"3.6";"";"";"";"";"";"";
"13.06.2019 00:00";"15.9";"753.4";"767.5";"1.5";"69";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"12.06.2019 21:00";"18.7";"751.9";"765.8";"1.2";"56";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"24.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"9.8";"No precipitation";"12";"";"";"";"";
"12.06.2019 18:00";"19.7";"750.7";"764.5";"0.1";"58";"Wind blowing from the north-northeast";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"10.0";"11.2";"No precipitation";"12";"";"";"";"";
"12.06.2019 15:00";"20.9";"750.6";"764.4";"0.5";"53";"Wind blowing from the north-northeast";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"10.0";"10.9";"";"";"";"";"";"";
"12.06.2019 12:00";"24.4";"750.1";"763.8";"-0.6";"39";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"10.0";"9.5";"";"";"";"";"";"";
"12.06.2019 09:00";"24.0";"750.7";"764.4";"-0.6";"42";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"14.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.2";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"12.06.2019 06:00";"17.9";"751.3";"765.2";"0.1";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"14.7";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.2";"No precipitation";"12";"";"";"";"";
"12.06.2019 03:00";"15.3";"751.2";"765.3";"-0.4";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"12.06.2019 00:00";"17.6";"751.6";"765.6";"-0.5";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"11.06.2019 21:00";"24.2";"752.1";"765.8";"0.5";"32";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"6.3";"No precipitation";"12";"";"";"";"";
"11.06.2019 18:00";"26.9";"751.6";"765.1";"-0.3";"29";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.4";"No precipitation";"12";"";"";"";"";
"11.06.2019 15:00";"27.4";"751.9";"765.5";"-1.1";"33";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.5";"";"";"";"";"";"";
"11.06.2019 12:00";"26.5";"753.0";"766.6";"-0.4";"35";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.8";"";"";"";"";"";"";
"11.06.2019 09:00";"23.6";"753.4";"767.1";"0.2";"51";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"15.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.8";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"11.06.2019 06:00";"19.4";"753.2";"767.2";"0.6";"80";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.8";"No precipitation";"12";"";"";"";"";
"11.06.2019 03:00";"15.7";"752.6";"766.7";"-0.2";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"11.06.2019 00:00";"18.7";"752.8";"766.8";"0.6";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"14.9";"";"";"";"";"";"";
"10.06.2019 21:00";"23.8";"752.2";"765.9";"0.3";"57";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"27.1";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.8";"No precipitation";"12";"";"";"";"";
"10.06.2019 18:00";"25.9";"751.9";"765.4";"-0.6";"48";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"No precipitation";"12";"";"";"";"";
"10.06.2019 15:00";"26.1";"752.5";"766.2";"-0.6";"48";"Wind blowing from the north-northwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.1";"";"";"";"";"";"";
"10.06.2019 12:00";"26.0";"753.1";"766.7";"0.1";"51";"Wind blowing from the west-northwest";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.0";"";"";"";"";"";"";
"10.06.2019 09:00";"24.0";"753.0";"766.7";"-0.1";"55";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"18.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"10.0";"14.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"10.06.2019 06:00";"19.8";"753.1";"766.9";"0.7";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.0";"No precipitation";"12";"";"";"";"";
"10.06.2019 03:00";"18.2";"752.4";"766.3";"-0.1";"82";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.0";"";"";"";"";"";"";
"10.06.2019 00:00";"23.1";"752.5";"766.3";"0.1";"56";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"13.9";"";"";"";"";"";"";
"09.06.2019 21:00";"25.2";"752.4";"766.0";"0.4";"51";"Calm, no wind";"0";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"31.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.3";"No precipitation";"12";"";"";"";"";
"09.06.2019 18:00";"28.9";"752.0";"765.4";"-1.0";"38";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";"Thunderstorm (with or without precipitation). ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.0";"No precipitation";"12";"";"";"";"";
"09.06.2019 15:00";"30.1";"753.0";"766.4";"-1.0";"32";"Wind blowing from the west-northwest";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.7";"";"";"";"";"";"";
"09.06.2019 12:00";"28.9";"754.0";"767.5";"-0.1";"36";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.3";"";"";"";"";"";"";
"09.06.2019 09:00";"28.2";"754.1";"767.7";"0.2";"42";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"09.06.2019 06:00";"19.9";"753.9";"767.8";"-0.1";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.5";"No precipitation";"12";"";"";"";"";
"09.06.2019 03:00";"17.8";"754.0";"768.0";"0.3";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"09.06.2019 00:00";"19.6";"753.7";"767.6";"0.4";"73";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"14.5";"";"";"";"";"";"";
"08.06.2019 21:00";"24.7";"753.3";"766.9";"0.5";"51";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.9";"Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.8";"No precipitation";"12";"";"";"";"";
"08.06.2019 18:00";"28.7";"752.8";"766.3";"-0.8";"38";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.8";"No precipitation";"12";"";"";"";"";
"08.06.2019 15:00";"29.8";"753.6";"767.1";"-0.6";"33";"Wind blowing from the east-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.7";"";"";"";"";"";"";
"08.06.2019 12:00";"29.9";"754.2";"767.7";"-0.1";"28";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.6";"";"";"";"";"";"";
"08.06.2019 09:00";"27.8";"754.3";"767.9";"0.2";"39";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"12.7";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"08.06.2019 06:00";"20.2";"754.1";"768.1";"0.0";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"16.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.0";"No precipitation";"12";"";"";"";"";
"08.06.2019 03:00";"17.5";"754.1";"768.2";"0.4";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"08.06.2019 00:00";"19.0";"753.7";"767.8";"0.5";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"12.6";"";"";"";"";"";"";
"07.06.2019 21:00";"23.7";"753.2";"766.9";"0.2";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"10.0";"11.7";"No precipitation";"12";"";"";"";"";
"07.06.2019 18:00";"29.6";"753.0";"766.5";"-0.7";"26";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.3";"No precipitation";"12";"";"";"";"";
"07.06.2019 15:00";"30.6";"753.7";"767.2";"-0.4";"24";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.6";"";"";"";"";"";"";
"07.06.2019 12:00";"29.4";"754.1";"767.6";"-0.1";"27";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"07.06.2019 09:00";"27.1";"754.2";"767.8";"0.2";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"10.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"15.0";"";"";
"07.06.2019 06:00";"17.4";"754.0";"768.1";"0.3";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"13.5";"No precipitation";"12";"";"";"";"";
"07.06.2019 03:00";"15.0";"753.7";"767.9";"0.3";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"07.06.2019 00:00";"17.7";"753.4";"767.4";"0.6";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"06.06.2019 21:00";"22.7";"752.8";"766.6";"0.1";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"10.0";"12.1";"No precipitation";"12";"";"";"";"";
"06.06.2019 18:00";"28.0";"752.7";"766.3";"-0.8";"28";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.6";"No precipitation";"12";"";"";"";"";
"06.06.2019 15:00";"28.7";"753.5";"767.0";"-0.6";"26";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.2";"";"";"";"";"";"";
"06.06.2019 12:00";"26.7";"754.1";"767.8";"-0.4";"29";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.2";"";"";"";"";"";"";
